Confortante;O Nosso Menu;Elaborado com maior cuidado e dedicação, para proporcionar-lhe um momento deliciosamente confortante.;;;;;;;;;;
Loja;Código;Familia;Sub Família;Regiao;Descrição;Composição;PVP1;Foto;status;ordem na Gfamilia;ordem na familia;Ordem Regiao
1;201;EMENTA;ACOMPANHAMENTOS;;Salada Mista;;2,75;;1;1;8;
1;644;EMENTA;ACOMPANHAMENTOS;;Prato de Quinoa;;2,75;;1;1;8;
1;645;EMENTA;ACOMPANHAMENTOS;;Taça de Arroz;;1,75;;1;1;8;
1;646;EMENTA;ACOMPANHAMENTOS;;Taça Legumes;;1,75;;1;1;8;
1;647;EMENTA;ACOMPANHAMENTOS;;Dose de Batata;;1,75;;1;1;8;
1;100431;EMENTA;ACOMPANHAMENTOS;;Ovo estrelado;;1;;1;1;8;
1;407;EMENTA;CARIL;;Caril vermelho da Tailândia com gambas;;15,95;;1;1;4;
1;712;EMENTA;CARIL;;Caril de Porco com Frutas Tropicais em Cama de legumes;;12,95;;1;1;4;
1;717;EMENTA;CARIL;;Caril Frango;;11,95;;1;1;4;
1;100270;EMENTA;CARIL;;Caril de Vaca, fruta e legumes;;13,95;;1;1;4;
1;100307;EMENTA;CARIL;;Caril de Legumes;;10,95;;;1;4;
1;602;EMENTA;CARNE;;Picanha na Tábua;;15,95;;1;1;6;
1;603;EMENTA;CARNE;;Bife à Merkado;;15,95;;1;1;6;
1;715;EMENTA;CARNE;;Bifes de Frango MK;;10,95;;0;1;6;
1;727;EMENTA;CARNE;;Hamburguer _ Infantil;;5,95;;1;1;6;
1;728;EMENTA;CARNE;;Frango _ Infantil;;5,95;;1;1;6;
1;740;EMENTA;CARNE;;Frango Tropical;;12,95;;1;1;6;
1;742;EMENTA;CARNE;;Bochechas de Porco;;12,95;;1;1;6;
1;743;EMENTA;CARNE;;Carne Maturada Grelhada;;23;;1;1;6;
1;745;EMENTA;CARNE;;Picanha Maturada;;16,95;;1;1;6;
1;100259;EMENTA;CARNE;;Bochechas de Vaca;;13,95;;1;1;6;
1;100350;EMENTA;CARNE;;Baby Tomahawk;;21,95;;1;1;6;
1;100436;EMENTA;CARNE;;TORNEDÓ;;12,95;;1;1;6;
1;101;EMENTA;COUVERT;;Pão;;0,75;;1;1;1;
1;102;EMENTA;COUVERT;;Manteiga;;0,85;;1;1;1;
1;104;EMENTA;COUVERT;;Azeitonas Chefe;;0,85;;1;1;1;
1;105;EMENTA;COUVERT;;Azeite Gourmet;;0,95;;1;1;1;
1;656;EMENTA;COUVERT;;Pão Sementes;;2,05;;1;1;1;
1;405;EMENTA;DO CHEFE;;Tiborna de Bacalhau (2pax);;40;;1;1;9;
1;505;EMENTA;DO CHEFE;;Rabo de Boi;;35;;1;1;9;
1;100269;EMENTA;DO CHEFE;;Fondue MK (misto);;15,9;;1;1;9;
1;678;EMENTA;ENTRADAS;;Gambas à Guilho;;6,50;;1;1;2;
1;713;EMENTA;ENTRADAS;;Tábua de Enchidos;;5,45;;1;1;2;
1;725;EMENTA;ENTRADAS;;Ovos Com Alheira;;4,95;;1;1;2;
1;100230;EMENTA;ENTRADAS;;Queijo Seco;;3,95;;1;1;2;
1;100308;EMENTA;ENTRADAS;;Salsichinha Toscana;;4,95;;1;1;2;
1;402;EMENTA;MASSAS;;Linguini Negro à Algarvia;;11,95;;1;1;5;
1;729;EMENTA;MASSAS;;Linguine Verde;;11,95;;1;1;5;
1;730;EMENTA;MASSAS;;Esparguete Picante;;11,95;;1;1;5;
